ID #HeavyAtom
04221219462D 91
04221221522D 74
04221219592D 102
09101416192D 85
10031320352D 72
04221221592D 71
04191211592D 93
02231214272D 32
02231214272D 11
02231214272D 27
02231214272D 6
02231214272D 12
02231214272D 16
02261416092D 7
09081311422D 10
09081311462D 12
02231214272D 12
02231214272D 14
02231214282D 9
09081312202D 9
09081312232D 10
02231214282D 23
02231214282D 20
09081312422D 7
02231214282D 9
02231214282D 13
04191212032D 30
02231214282D 42
09241310162D 14
02231214282D 8
02231214282D 27
04191212032D 15
02231214282D 20
02231214282D 25
02231214282D 5
04191212102D 29
02231214282D 12
02231214282D 9
12091422482D 9
02231214282D 15
09241312162D 7
02231214282D 18
02231214282D 29
02231214292D 22
02231214292D 12
09241312372D 8
02231214292D 32
05281313312D 22
09241312462D 6
09241312492D 8
09031312482D 21
02231214292D 31
09241312552D 12
04191212102D 12
02231214292D 9
04191212102D 21
04191212102D 28
02231214292D 13
09241313202D 31
02231214292D 8
02231214292D 10
02231214292D 9
02231214292D 30
02231214292D 22
02231214292D 32
02231214292D 30
02231214302D 22
02231214302D 31
02231214302D 14
04191212102D 10
02231214302D 54
02231214302D 12
04191212102D 13
02231214302D 21
02231214302D 21
04191212102D 28
04191212102D 9
04191212102D 17
02231214302D 11
02231214302D 23
02231214302D 19
02231214302D 19
02231214302D 22
02231214302D 22
02231214302D 22
02231214302D 51
04191212102D 92
02231214312D 14
02231214312D 20
02231214312D 33
02231214312D 29
02231214312D 17
02231214312D 44
04191212112D 52
02231214312D 17
02231214312D 29
02231214312D 31
02231214312D 18
02231214312D 44
02231214312D 26
02231214312D 24
02231214312D 24
02231214312D 27
02231214312D 13
02231214312D 29
02231214312D 25
02231214312D 40
02231214312D 17
02231214312D 34
04191212112D 29
02231214322D 45
02231214322D 31
02231214322D 15
02231214322D 29
02231214322D 10
02231214322D 34
02231214322D 11
02231214322D 21
02231214322D 20
02231214322D 11
02231214322D 23
02231214322D 16
02231214322D 16
02231214322D 15
02231214322D 20
02231214322D 26
04191212112D 28
02231214322D 16
02231214322D 19
02231214322D 31
02231214322D 11
04191212112D 23
02231214322D 28
04191212112D 26
02231214332D 33
02231214332D 17
02231214332D 17
02231214332D 36
02231214332D 19
02231214332D 25
02231214332D 32
02231214332D 20
02231214332D 43
02231214332D 25
02231214332D 9
02231214332D 11
04191212112D 7
04191212112D 16
02231214332D 12
02231214332D 18
02231214332D 19
02231214332D 15
04191212112D 25
04191212112D 33
02231214332D 19
02231214332D 27
02231214332D 20
02231214342D 8
02231214342D 22
02231214342D 30
04191212112D 33
02231214342D 28
02231214342D 13
02231214342D 35
02231214342D 23
09251317272D 25
02231214342D 17
02231214342D 13
02231214342D 24
02231214342D 44
02231214342D 20
02231214342D 25
02231214342D 35
02231214342D 36
02231214342D 19
02231214342D 96
02231214342D 19
04191212112D 18
02231214342D 32
04191212112D 24
02231214352D 21
09251317582D 20
02231214352D 21
02231214352D 24
02231214352D 18
02231214352D 19
02231214352D 30
04191212112D 11
02231214352D 33
02231214352D 23
02231214352D 24
08081309442D 16
02231214352D 26
02231214352D 26
02231214352D 55
02231214352D 22
02231214352D 16
02231214352D 10
02231214352D 93
04191212112D 21
02231214352D 11
02231214352D 31
02231214352D 22
04191212112D 36
02231214362D 43
02231214362D 21
02231214362D 17
02231214362D 20
02231214362D 27
02231214362D 13
02231214362D 31
02231214362D 21
02231214362D 25
04191212112D 14
02231214362D 9
04191212112D 25
02231214362D 23
04191212112D 22
02231214362D 19
02231214362D 14
02231214362D 56
02231214362D 24
02231214362D 9
02231214362D 22
02231214362D 27
02231214372D 29
02231214372D 20
02231214372D 14
02231214372D 28
02231214372D 10
02231214372D 23
02231214372D 21
02231214372D 15
08191312242D 27
02231214372D 11
02231214372D 25
02231214372D 31
04191212122D 28
02231214372D 11
02231214372D 17
02231214372D 26
02231214372D 17
02231214372D 17
04191212122D 57
02231214372D 82
02231214372D 23
02231214372D 78
02231214382D 20
02231214382D 23
02231214382D 12
02231214382D 18
02231214382D 20
02231214382D 15
04191212122D 21
04191212122D 28
02231214382D 18
02231214382D 22
02231214382D 22
02231214382D 23
02231214382D 13
02231214382D 19
02231214382D 28
02231214382D 25
02231214382D 19
02231214382D 51
02231214382D 21
02231214382D 12
02231214382D 12
04191212122D 55
02231214392D 23
02231214392D 22
02231214392D 30
04211220072D 36
02231214392D 18
02231214392D 23
02231214392D 11
02231214392D 32
02231214392D 16
02231214392D 24
02231214392D 28
02231214392D 27
04191212122D 94
02231214392D 22
02231214392D 19
02231214392D 28
02231214392D 70
02231214392D 23
02231214392D 22
02231214392D 35
08151317392D 11
11291314372D 25
04191212122D 14
02231214402D 24
02231214402D 24
04191212122D 17
02231214402D 15
02231214402D 20
02231214402D 29
02231214402D 17
02231214402D 17
04191212122D 21
02231214402D 23
02231214402D 23
02231214402D 21
02231214402D 18
