drug_id lig_id drug_sz lig_sz
DB00819 1bzmA 13 14
DB00783 4pm1A 20 21
DB00783 1sqnB 20 22
DB00783 3q95B 20 21
DB00783 1lhnA 20 21
DB00783 2yloA 20 21
DB00703 3ml5A 14 13
DB00703 3czvB 14 13
DB00703 3dc3A 14 13
DB00703 4lu3A 14 13
DB00547 1m2zA 27 28
DB01076 3cctA 41 42
DB01076 3cctA 41 42
DB00943 2no7A 15 16
DB00946 1og5A 21 23
DB00946 1ha2A 21 23
DB00605 3rx2A 25 26
DB00539 1ya4B 29 28
DB00539 1ya4B 29 28
DB00175 1hw8B 30 29
DB00175 1hw8B 30 29
DB01242 2q72A 22 21
DB01242 2q72A 22 21
DB00755 4i9rA 22 20
DB00755 4exzA 22 20
DB00613 2aouA 25 23
DB00563 4lrhD 33 32
DB00563 2w3mA 33 32
DB00162 2rctA 21 19
DB00162 1fm6C 21 22
DB00277 3rfmA 13 14
DB00294 2w8yB 24 22
DB00194 3iarA 19 18
DB00135 1q11A 13 12
DB00223 1m2zA 29 28
DB00959 4p6xE 27 26
DB00169 1j78B 28 29
DB00169 1ie9A 28 30
DB00169 3czhB 28 29
DB00850 3m0wI 27 25
DB00850 3m0wI 27 25
DB00850 3m0wI 27 25
DB00623 3ko0H 30 28
DB00623 1ctrA 30 28
DB00623 3ko0H 30 28
DB00623 3ko0H 30 28
DB00623 1wrlC 30 28
DB00623 1wrlC 30 28
DB00623 1wrlC 30 28
DB00623 3ko0H 30 28
DB00623 1wrlC 30 28
DB00642 4m6lA 31 32
DB00120 3hfvA 12 13
DB00987 1p60A 17 16
DB00631 2zi9A 20 19
DB00655 4pm1A 20 21
DB00655 2q7jA 20 21
DB00655 3q95B 20 21
DB00655 1sqnB 20 22
DB00328 1dcyA 25 23
DB00328 4dbwB 25 24
DB00328 4dbwB 25 24
DB00499 4oh5A 19 20
DB00152 3s4yB 18 17
DB00152 3s4yB 18 17
DB08910 4tz4B 20 19
DB00933 3tbgA 26 25
DB00933 3tbgA 26 25
DB06262 6pahA 15 14
DB01436 1ie9A 29 30
DB01151 2q72A 20 21
DB01151 2q72A 20 21
DB00143 1yzxB 20 22
DB00240 2vdyA 28 26
