drug_id lig_id
DB00775 2vdmB
DB00775 2vdmA
DB00966 3vn2A
DB00679 3tbgA
DB00679 3tbgA
DB02959 1yiaA
DB00674 4ey6B
DB00818 1e7aA
DB00818 1e7aA
DB00819 3ml5A
DB00819 3czvB
DB00819 1bzmA
DB00819 3dc3A
DB00819 4lu3A
DB00381 3ua5A
DB00381 3ua5A
DB00373 3d4sA
DB00788 2vdbA
DB00788 4jq1A
DB04868 3cs9A
DB01098 1hwlA
DB01098 1hwlA
DB01095 1hwiB
DB01095 1hwiB
DB00783 4pm1A
DB00783 1iolA
DB00783 1sqnB
DB00783 3ollA
DB00783 3q95B
DB00783 1lhnA
DB00783 2yloA
DB00703 3ml5A
DB00703 3czvB
DB00703 1bzmA
DB00703 3dc3A
DB00703 4lu3A
DB01011 1phgA
DB01011 1w0gA
DB00255 3erdA
DB00255 1tz8C
DB00255 1s9pD
DB01259 1xkkA
DB00544 3nbqA
DB00259 1aj0A
DB00547 1m2zA
DB00890 3erdA
DB01076 3cctA
DB01076 3cctA
DB00943 2no7A
DB00946 1og5A
DB00946 1ha2A
DB00471 2nniA
DB01172 1knyA
DB01172 1knyA
DB00605 3rx2A
DB00605 4jq2A
DB00605 4iklA
DB08604 2pd3A
DB08604 1qsgG
DB08604 3gr6D
DB08604 2qioA
DB00539 1ya4B
DB00539 3ertA
DB00539 1ya4B
DB00866 3nyaA
DB01367 2xfqA
DB00861 4i89B
DB00861 2bxeA
DB00861 2bxeA
DB00861 2bxeA
DB01087 4fgjA
DB01087 4fgjA
DB00869 4m2uA
DB00869 3fw3B
DB01085 3t3zA
DB01085 3t3qA
DB00175 1hw8B
DB00175 1hw8B
DB01254 2gqgA
DB00302 1cebA
DB00302 1b2iA
DB00170 2qr2A
DB01004 1ki2B
DB00172 4k87A
DB00172 5cyhA
DB01244 1lxfA
DB00266 2f1oG
DB00266 2f1oG
DB01242 2q72A
DB01242 2q72A
DB00117 4phcA
DB00619 1t46A
DB00619 2pl0A
DB00619 4bkjB
DB00619 2hyyB
DB00755 4i9rA
DB00755 4exzA
DB00755 2nnhB
DB00755 2lbdA
DB00755 2nnhB
DB00755 3fc6A
DB01103 1jqeA
DB00205 1j3jA
DB00613 2aouA
DB00613 2aouA
DB00203 3jwqC
DB00203 1xosA
DB00118 2obvA
DB00118 4ndnC
DB00118 3bwyA
DB00118 4pcuB
DB08881 3og7A
DB00281 3jqzA
DB00682 1og5B
DB00682 1ha2A
DB00563 4lrhD
DB00563 2w3mA
DB00446 2xatA
DB00446 1qhyA
DB00446 1usqF
DB00446 3claA
DB00446 1qhyA
DB00441 2no0A
DB00440 2w3aA
DB00162 1qabE
DB00162 2rctA
DB00162 3hy5A
DB00162 1fm6C
DB00163 1oipA
DB00278 4rn6A
DB00165 3fhxB
DB00273 3hkuA
DB00378 1a28A
DB00277 3rfmA
DB01051 4uroA
DB01050 2bxgB
DB01050 3r8gA
DB01050 2bxgB
DB00583 1s5oA
DB00173 1mudA
DB00173 1z5nA
DB00173 1yxmB
DB00173 1hqcA
DB00173 1s2dC
DB00173 1mudA
DB00173 1jh8A
DB00173 1cb0A
DB00173 1zn7A
DB00742 1m2wB
DB01113 2weyB
DB06605 2p16A
DB00212 3d91B
DB00294 2w8yB
DB01586 1ihiA
DB02546 4qa0A
DB02546 4qa0A
DB02546 4lxzA
DB02546 1c3sA
DB00291 3csjB
DB00293 1hvyB
DB00513 1ceaA
DB00513 2pk4A
DB00513 1pk2A
DB00843 4ey7B
DB00695 1z9yA
DB00456 1kvlA
DB01268 4agdA
DB00360 1mlwA
DB00360 4d1nC
DB00360 4d1oB
DB00360 4nosD
DB00360 4nosD
DB00360 1mmkA
DB00360 4d1nC
DB00360 4d1oB
DB00368 4pahA
DB00194 3iarA
DB00131 1oreA
DB00131 2y8lC
DB00131 1rorA
DB00131 3fhjA
DB00131 3tw2A
DB00131 1xqsC
DB00131 1yxuA
DB00131 1t9gF
DB00131 1ftaA
DB00130 3vp0A
DB00135 1q11A
DB00134 1kq0A
DB01065 2qwxB
DB01065 2qwxB
DB00733 4axbA
DB00223 1m2zA
DB05812 3rukD
DB00150 1mb2D
DB00150 2azxD
DB00150 3fhjC
DB00227 1cqpA
DB00399 4p0wA
DB00959 4p6xE
DB00158 4kn1A
DB00169 1j78B
DB00169 1ie9A
DB00169 3czhB
DB08865 4ansA
DB08865 2wgjA
DB00530 1m17A
DB00996 2cojA
DB01216 3g1rB
DB01197 4c2pA
DB00850 3m0wI
DB00850 3m0wI
DB00850 3m0wI
DB00623 3ko0H
DB00623 1ctrA
DB00623 3ko0H
DB00623 3ko0H
DB00623 1wrlC
DB00623 1wrlC
DB00623 1wrlC
DB00623 3ko0H
DB00623 1wrlC
DB00428 2w4xA
DB00184 4ejgB
DB00421 2ab2B
DB00481 2qxsA
DB00480 4tz4B
DB00495 3b9mA
DB06228 2w26A
DB00642 4m6lA
DB00642 1ju6C
DB00128 4gdvA
DB00128 2nz2A
DB00712 1r9oA
DB00712 3r94A
DB00127 3c6mB
DB00722 1o86A
DB01030 1k4tD
DB01037 2bybA
DB00123 4dpgB
DB00120 3l4gC
DB00120 3hfvA
DB00727 4fr8A
DB00709 2noaA
DB00908 4wnvA
DB00909 3po7A
DB00321 3rzeA
DB00321 3rzeA
DB00905 2f38A
DB00594 1f5lA
DB00900 1v3qA
DB01200 3ua1A
DB04835 4mbsA
DB00829 2bxfB
DB00987 1p60A
DB01204 4i41A
DB01204 4i41A
DB00820 1xozA
DB00988 2qmzB
DB00988 2qmzB
DB00988 4a7vA
DB04839 2oz7A
