,DRUGBANK_ID,ClusterId,SimilarLigs,ProteinBoundLig
22,DB08906,13,3cldC.LG1.pdb 3cldA.LG1.pdb,3cldA.LG1.pdb
38,DB00421,23,3vhuA.LG0.pdb 2oaxD.LG0.pdb 2ab2B.LG0.pdb 2ab2A.LG0.pdb 2oaxB.LG0.pdb,2ab2A.LG0.pdb
39,DB04839,24,2oz7A.LG0.pdb,2oz7A.LG0.pdb
48,DB00175,33,1hw9C.LG0.pdb 1hw8D.LG0.pdb 1hw9A.LG1.pdb 1hw9C.LG1.pdb 1hw8A.LG0.pdb 1hw8B.LG0.pdb 1hw9B.LG3.pdb 1hw8C.LG0.pdb 1hw8B.LG1.pdb 1hw9A.LG2.pdb 1hw9D.LG3.pdb 1hw8A.LG1.pdb 1hw9B.LG4.pdb 1hw9D.LG2.pdb 1hw8D.LG1.pdb 1hw8C.LG1.pdb,1hw8B.LG1.pdb 1hw8B.LG0.pdb
49,DB00227,33,1cqpA.LG0.pdb 1cqpB.LG0.pdb,1cqpB.LG0.pdb
56,DB00959,36,4p6xG.LG1.pdb 4p6xE.LG1.pdb 4p6xC.LG1.pdb 4p6xK.LG2.pdb 4p6xI.LG2.pdb 4p6xA.LG1.pdb,4p6xI.LG2.pdb
57,DB00240,37,1p93A.LG2.pdb 1m2zA.LG3.pdb 1p93C.LG1.pdb 2vdyA.LG0.pdb 1p93G.LG1.pdb 4p6xG.LG1.pdb 4p6xE.LG1.pdb 2vdyB.LG0.pdb 4p6xC.LG1.pdb 1m2zC.LG0.pdb 4p6xK.LG2.pdb 4p6xI.LG2.pdb 4p6xA.LG1.pdb 1p93E.LG1.pdb,2vdyA.LG0.pdb 4p6xK.LG2.pdb
62,DB00223,40,1p93A.LG2.pdb 1m2zA.LG3.pdb 1p93C.LG1.pdb 1p93G.LG1.pdb 1m2zC.LG0.pdb 1p93E.LG1.pdb,
65,DB00547,40,1p93A.LG2.pdb 1m2zA.LG3.pdb 1p93C.LG1.pdb 1p93G.LG1.pdb 1m2zC.LG0.pdb 1p93E.LG1.pdb,
74,DB00169,41,1j78B.LG2.pdb 3dl9A.LG2.pdb 3c6gA.LG2.pdb 3m7rA.LG0.pdb 3czhB.LG3.pdb 3c6gB.LG3.pdb 2hb8A.LG0.pdb 1db1A.LG0.pdb 3czhA.LG2.pdb 1ie9A.LG0.pdb 3dl9B.LG3.pdb 3a78A.LG0.pdb,1j78B.LG2.pdb 1ie9A.LG0.pdb 3dl9B.LG3.pdb
77,DB01436,41,1j78B.LG2.pdb 3m7rA.LG0.pdb 1ie9A.LG0.pdb 3ax8A.LG0.pdb 2hb8A.LG0.pdb 1txiA.LG0.pdb 3auqA.LG0.pdb 1db1A.LG0.pdb 3aurA.LG0.pdb 3a78A.LG0.pdb,1j78B.LG2.pdb 1ie9A.LG0.pdb
81,DB00755,43,2nnhB.LG1.pdb 4i9rA.LG0.pdb 1cbsA.LG0.pdb 2lbdA.LG0.pdb 2g7bA.LG0.pdb 3fc6A.LG0.pdb 3fc6C.LG0.pdb 2fr3A.LG0.pdb 4i9sA.LG0.pdb 4exzA.LG0.pdb 2nnhA.LG1.pdb 2nnhB.LG2.pdb 3cbsA.LG0.pdb 4m6sA.LG0.pdb 3lbdA.LG0.pdb 3falA.LG0.pdb 2g78A.LG0.pdb 3cwkA.LG0.pdb 4m7mA.LG0.pdb 2nnhA.LG2.pdb 4ruuA.LG0.pdb 3falC.LG0.pdb,2lbdA.LG0.pdb 4exzA.LG0.pdb 4i9rA.LG0.pdb 2nnhA.LG1.pdb 2nnhA.LG2.pdb
83,DB00162,44,4eejB.LG0.pdb 4gkcB.LG0.pdb 1fm6C.LG2.pdb 1rlbE.LG0.pdb 1qabE.LG0.pdb 4eejA.LG0.pdb 4gkcA.LG0.pdb 4qypB.LG0.pdb 4cj6A.LG0.pdb 1rlbF.LG0.pdb 2rctA.LG0.pdb 1brpA.LG0.pdb 4qztA.LG0.pdb 4qynA.LG0.pdb 1rbpA.LG0.pdb 4qzuA.LG0.pdb 4qypC.LG0.pdb 1qabF.LG0.pdb 3hx3A.LG0.pdb 3bszF.LG0.pdb 4qzuC.LG0.pdb 4qypA.LG0.pdb 1fm6A.LG1.pdb 3bszE.LG0.pdb 3hy5A.LG0.pdb 4ruuA.LG0.pdb 4qzuB.LG0.pdb 1fm9A.LG1.pdb 4exzA.LG0.pdb 4qztB.LG0.pdb 4qynB.LG0.pdb 4edeB.LG0.pdb 4efgA.LG0.pdb,1qabE.LG0.pdb 2rctA.LG0.pdb 3hy5A.LG0.pdb 1fm6C.LG2.pdb
84,DB00378,45,1a28B.LG0.pdb 1a28A.LG0.pdb,1a28A.LG0.pdb
90,DB00294,50,1sqnA.LG0.pdb 3d90B.LG0.pdb 3d90A.LG0.pdb 2w8yB.LG0.pdb 1sqnB.LG0.pdb,
152,DB01172,97,1knyA.LG1.pdb 1knyB.LG1.pdb 1knyA.LG2.pdb 1knyB.LG2.pdb,1knyB.LG1.pdb 1knyB.LG2.pdb
166,DB00428,107,2w4xA.LG1.pdb,2w4xA.LG1.pdb
188,DB00558,123,1a4gB.LG1.pdb 2f0zA.LG0.pdb,2f0zA.LG0.pdb 1a4gB.LG1.pdb
192,DB01197,127,1uzfA.LG2.pdb 4dprA.LG0.pdb 4c2pA.LG1.pdb,4c2pA.LG1.pdb
