DB00116 1wsvA.LG0.pdb
DB00117 4phcA.LG0.pdb
DB00118 2obvA.LG0.pdb
DB00118 3bwyA.LG0.pdb
DB00118 4pcuB.LG2.pdb
DB00118 4ndnC.LG1.pdb
DB00120 3l4gC.LG0.pdb
DB00120 3hfvA.LG0.pdb
DB00123 4dpgB.LG0.pdb
DB00125 4d1nC.LG0.pdb
DB00125 4d1oB.LG0.pdb
DB00125 1nsiB.LG3.pdb
DB00126 1xidA.LG0.pdb
DB00127 3c6mB.LG0.pdb
DB00128 4pvrA.LG0.pdb
DB00128 2nz2A.LG0.pdb
DB00129 3gmzB.LG0.pdb
DB00129 3jdwA.LG0.pdb
DB00130 3vp0A.LG0.pdb
DB00131 1rorA.LG0.pdb
DB00131 3tw2A.LG0.pdb
DB00131 2y8lC.LG2.pdb
DB00131 1oreA.LG0.pdb
DB00131 1yxuD.LG0.pdb
DB00131 1ftaA.LG0.pdb
DB00131 1xqsC.LG0.pdb
DB00131 1t9gF.LG0.pdb
DB00131 3fhjA.LG1.pdb
DB00132 1fe3A.LG0.pdb
DB00134 1kq0A.LG0.pdb
DB00135 1q11A.LG0.pdb
DB00136 1ie9A.LG0.pdb
DB00140 1i18A.LG0.pdb
DB00140 1nb9A.LG1.pdb
DB00143 2uuhA.LG1.pdb
DB00143 2hgsA.LG1.pdb
DB00143 1fw1A.LG1.pdb
DB00143 2ht9B.LG0.pdb
DB00143 1hnlA.LG0.pdb
DB00143 3ob7D.LG0.pdb
DB00143 1hncD.LG0.pdb
DB00143 3dk4A.LG3.pdb
DB00143 3fr9A.LG0.pdb
DB00143 3dk4A.LG2.pdb
DB00143 2a2sA.LG1.pdb
DB00143 1b4qA.LG0.pdb
DB00143 1qh5A.LG0.pdb
DB00143 3qagA.LG0.pdb
DB00143 1eemA.LG0.pdb
DB00143 3bhjA.LG3.pdb
DB00143 1yzxB.LG0.pdb
DB00143 2wjuD.LG0.pdb
DB00143 4ec0B.LG0.pdb
DB00143 2vczC.LG0.pdb
DB00146 1ie9A.LG0.pdb
DB00147 3fhxB.LG1.pdb
DB00148 3b6rB.LG1.pdb
DB00149 1abwA.LG2.pdb
DB00149 1abwA.LG1.pdb
DB00150 1mb2D.LG0.pdb
DB00150 2azxD.LG0.pdb
DB00150 3fhjC.LG0.pdb
DB00152 3s4yB.LG0.pdb
DB00152 3s4yB.LG1.pdb
DB00153 1ie9A.LG0.pdb
DB00153 3czhB.LG3.pdb
DB00155 2nz2A.LG1.pdb
DB00155 2jaiA.LG0.pdb
DB00158 4kn1A.LG0.pdb
DB00159 3emlA.LG5.pdb
DB00159 3emlA.LG3.pdb
DB00159 3emlA.LG2.pdb
DB00159 1fdqB.LG0.pdb
DB00159 2zk3A.LG0.pdb
DB00159 3emlA.LG4.pdb
DB00159 3emlA.LG1.pdb
DB00159 3gwxB.LG0.pdb
DB00162 1fm6C.LG2.pdb
DB00162 1qabE.LG0.pdb
DB00162 2rctA.LG0.pdb
DB00162 3hy5A.LG0.pdb
DB00163 1r5lA.LG0.pdb
DB00165 3fhxB.LG1.pdb
DB00169 1j78B.LG2.pdb
DB00169 3czhB.LG3.pdb
DB00169 1ie9A.LG0.pdb
DB00170 2qr2B.LG3.pdb
DB00170 2qr2B.LG2.pdb
DB00171 1r4nH.LG0.pdb
DB00171 2g2fB.LG0.pdb
DB00171 4aw0A.LG0.pdb
DB00171 2qk4B.LG0.pdb
DB00171 2bbtB.LG1.pdb
DB00171 3eqdA.LG0.pdb
DB00171 2ocpA.LG0.pdb
DB00171 2xcwA.LG0.pdb
DB00171 1c1yA.LG0.pdb
DB00171 3t0zA.LG0.pdb
DB00171 2idxC.LG0.pdb
DB00171 4py0A.LG0.pdb
DB00171 2idxC.LG1.pdb
DB00171 2bbtB.LG0.pdb
DB00171 2cchA.LG0.pdb
DB00172 4k87A.LG1.pdb
DB00172 2cyhA.LG0.pdb
DB00173 1mudA.LG1.pdb
DB00173 1jh8A.LG0.pdb
DB00173 1cb0A.LG0.pdb
DB00173 1yxmB.LG0.pdb
DB00173 1z5nA.LG1.pdb
DB00173 1hqcB.LG0.pdb
DB00173 1mudA.LG2.pdb
DB00173 1zn7A.LG2.pdb
DB00173 1s2dB.LG0.pdb
DB00175 1hw8B.LG0.pdb
DB00175 1hw8B.LG1.pdb
DB00181 4ms4A.LG0.pdb
DB00184 4ejgB.LG1.pdb
DB00194 3iarA.LG0.pdb
DB00201 3rfmA.LG0.pdb
DB00203 1xosA.LG0.pdb
DB00203 3jwqC.LG0.pdb
DB00205 1j3jA.LG0.pdb
DB00212 3d91B.LG0.pdb
DB00223 1m2zA.LG3.pdb
DB00227 1cqpA.LG0.pdb
DB00232 1zgfA.LG0.pdb
